node_id,edrpou_code,name,level,node_type,main_activity,registration_date,manager_signatory,address,telephone_fax,email,web_page
1,20077720,"JSC ""NAFTOGAZ UKRAINE""",0,COMPANY,70.10 Activities of head offices,02.06.1998,"GNEZDILOVA OLENA MYKOLAIVNA, KORETSKY SERHIY FEDOROVYCH","Ukraine, 01601, Kyiv city, BOHDANA KHMELNYTSKOHO STREET, building 6","+38 (044) 586-33-30, +38 (044) 586-35-37",ngu@naftogaz.com,naftogaz.com
2,,"THE STATE OF UKRAINE (IN THE PERSON OF THE ENTITY MANAGING STATE-OWNED OBJECTS: (CABINET OF MINISTERS OF UKRAINE)",1,STATE_ENTITY,,,,,,,
3,36858992,SE ZAKORDONNAFTOGAZ,1,COMPANY,06.10 Extraction of crude oil,16.12.2009,CHEMERYS ANDRIY VIKTOROVYCH,"Ukraine, 03150, Kyiv city, Velyka Vasylkivska st., building 72, apartment 16.","+38 (073) 335-82-66, +38 (044) 586-36-58",info@nopc.org.ua,www.nopc.org.ua
4,03348117,PJSC KRYMGAZ,1,COMPANY,35.22 Distribution of gaseous fuels through local pipelines,04/14/1995,DRIBNYI VIKTOR IVANOVYCH,"Ukraine, 95001, Autonomous Republic of Crimea, Simferopol city, UCHYLISHCHNA STREET, building 42-A","61-93-82, 27-44-49, 25-55-45",,
5,21516736,OJSC CHORNOMORNAFTOGAZ,1,COMPANY,06.10 Extraction of crude oil,03.12.1993,SHABUNIN VOLODYMYR SERGIYOVYCH,"Ukraine, 95013, Autonomous Republic of Crimea, Simferopol city, KYIVSKA, building 129, office 308, ","(0652) 52-65-41,(0652) 52-66-00,52-65-47",,
6,03351743,PJSC KRYMGEOLOGIYA,1,COMPANY,09.10 Provision of support services for the extraction of crude oil and natural gas,11/23/1994,"Ukraine, 95017, Autonomous Republic of Crimea, Simferopol city, Kyivska Street, building 112","Ukraine, 95017, Autonomous Republic of Crimea, Simferopol city, Kyivska Street, building 112",277226,,
7,20042841,PJSC UKRTRANSGAZ,1,COMPANY,49.50 Transport of pipelines,15.10.1998,GISEM SERGIY VOLODYMYROVYCH,"Ukraine, 01021, Kyiv city, Klovsky Descent, building 9/1","+38 (044) 461-25-75, +38 (044) 461-20-95",press@utg.ua,utg.ua
8,20219683,PJSC UKRGAZVIDOBUVANNYA,1,COMPANY,06.20 Natural gas production,02.11.1998,KHARITONOV IGOR YURYEVICH,"Ukraine, 04053, Kyiv city, ARTYMA STREET, building 26-A","+38 (044) 486-66-09, +38 (044) 486-66-09",o.shmatok@ugv.com.ua,www.ugv.com.ua
9,31388291,"PJSC ""UKRNAFTA""",1,COMPANY,06.10 Extraction of crude oil,10/18/2001,KORETSKY SERHIY FEDOROVYCH,"Ukraine, 04053, Kyiv city, NESUKHOZERNAYA STREET, building 1",+38 (044) 461-83-31,press@ukrnafta.com,www.ukrnafta.com
10,32790847,"PJSC ""UKRTRANSNAFTA""",1,COMPANY,49.50 Transport of pipelines,12/29/2003,SHMYGAL DENYS ANATOLIYOVYCH,"Ukraine, 01001, Kyiv city, BULVAR SHEVCHENKA TARASA, building 36","+38 (044) 585-68-68, +38 (044) 585-68-79",,utn.com.ua
11,32918996,"THE STATE SPECIALIZED ENTERPRISE ""CHORNOBYL SPECIALIZED COMPLEX""",1,COMPANY,37.00 Drainage and treatment of sewage,11/15/2004,LITVIN MAKSYM VALERYOVYCH,"Ukraine, 04119, Kyiv city, CHERNIGIVSKA STREET, building 18-A","+38 (044) 483-13-62, +38 (044) 483-13-62",,
12,25485671,SE LIKURY,1,COMPANY,86.10 Medical activities,11/04/1997,TKHORZHEVSKY VADIM VADYMOVYCH,"Ukraine, 04114, Kyiv city, GALENKA GOROSHKA STREET, building 118/2","+38 (044) 202-01-10, +38 (044) 220-10-38",info@likari.com.ua,www.likari.com.ua
13,36730370,"SE ""SCIENTIFIC AND TECHNICAL CENTER NAFTOGAZ OF UKRAINE""",1,COMPANY,71.12 Engineering activities and provision of technical consultations in these fields,07.15.2009,PEREPELICHENKO VOLODYMYR FEDOROVYCH,"Ukraine, 08150, Kyiv region, BOYARKA city, SOBORNOSTI STREET, building 36",(04598) 3-50-00,,
14,00179737,"SUBSIDIARY COMPANY ""LUKORINAFTOGAZ""",1,COMPANY,06.10 Extraction of crude oil,05/04/1998,FEDORKO VOLODYMYR VIKTOROVYCH,"Ukraine, 76014, Ivano-Frankivsk region, NADRIYCHUK city, PROMYSLOVA STREET, building 6","+38 (067) 338-42-16, +38 (034) 762-65-01",,
15,00179754,"STATE ENTERPRISE ""HAZTECH""",1,COMPANY,06.10 Extraction of crude oil,05/04/1998,NAZAROV VIKTOR MIKHAYLOVICH,"Ukraine, 86140, Donetsk region, Volnovaska district, Khlibodarska village, Myroslava village, Zavodska street, building 1",(099) 929-31-04,,
16,22525951,"PE ""BORYSLAV ""NAFTOGAZ""",1,COMPANY,06.10 Extraction of crude oil,01/25/1996,SKHOLSKY VLADYSLAV ROMANOVICH,"Ukraine, 82300, Lviv region, BORYSLAV city, TRUSKAVETSKA STREET, building 4",(0265) 125-33,,
17,00149726,"PJSC ""DOLYNANAFTOGAZ""",1,COMPANY,06.10 Extraction of crude oil,12/02/1994,SYNYUK MYKOLA MYKOLAYOVYCH,"Ukraine, 77500, Ivano-Frankivsk region, DOLYNA city, Knyazhynka Street, building 15-A","+38 (034) 772-26-21, +38 (034) 772-61-87",,
18,00149732,"SUBSIDIARY COMPANY ""OHDGCH""",1,COMPANY,06.10 Extraction of crude oil,12/02/1994,NAZAROV VIKTOR MIKHAYLOVICH,"Ukraine, 39602, Poltava region, KHORISHKY district, HORISHNI PLAVNI city, BUDOVA MIRA, building 16","+38 (053) 485-48-82, +38 (053) 485-48-80",,
19,,"Financial and Industrial Group ""DF Group""",2,GROUP,,,,,,,
20,38056813,"OSTHEM HOLDING LIMITED (OSTCHEM HOLDING LIMITED)",2,COMPANY,,,,,,,
21,37188406,"LLC ""DF AGRO""",2,COMPANY,01.11 Growing of grain crops (except rice) leguminous crops and oilseeds,09/17/2010,KUTS VALERY ANATOLIYOVYCH,"Ukraine, 04112, Kyiv city, Degtyarivska street, building 27T",+38 (044) 585-02-14,info@dfagro.com.ua,dfagro.com
22,33162687,"LLC ""ROSE FERTILIZERS""",2,COMPANY,20.15 Production of fertilizers and nitrogen compounds,05.20.2005,GOLUBYATNIKOV VALERY VALERIYOVYCH,"Ukraine, 18031, Cherkasy region, Cherkasy city, Prykordonna street, building 46-G",+38 (0472) 54-40-90,info@azot.ck.ua,www.azot.cherkassy.ua
23,00206539,"PUBLIC JOINT STOCK COMPANY ""RIVNEAZOT""",2,COMPANY,20.15 Production of fertilizers and nitrogen compounds,06/01/1994,ZABLOTSKY MYKHAIL BOGDANOVICH,"Ukraine, 33017, Rivne region, Rivne district, village of Zarya (Zarya), Zarya Street, building 1",+38 (0362) 61-88-40,office@azot.rv.ua,www.azot.rv.ua
24,05761614,"PJSC ""SEVERODONETSK ASSOCIATION AZOT""",2,COMPANY,20.15 Production of fertilizers and nitrogen compounds,01.08.1996,SKORIK LEONID MYKHAILOVICH,"Ukraine, 93400, Luhansk region, SEVERODONETSK city, PROMYSLOVA STREET, building 31",+38 (06452) 77-77-77,post@azot.lg.ua,www.azot.lg.ua
25,05761620,"PJSC ""CONCERN STIROL""",2,COMPANY,20.14 Production of other basic organic chemical substances,12/02/1996,"Ukraine, 84610, Donetsk region, GORLIVKA city, GORLOVSKOYI DIVIZII STREET, building 10","Ukraine, 84610, Donetsk region, GORLIVKA city, GORLOVSKOYI DIVIZII STREET, building 10",+38 (06242) 77-777,stirol@stirol.net,www.stirol.net
26,00203826,"PJSC ""CRIMEAN TITANIUM""",2,COMPANY,20.13 Production of other basic inorganic chemical substances,12/10/1992,YUDIN MAXIM ANATOLIYOVYCH,"Ukraine, 96465, Autonomous Republic of Crimea, Krasnoperekopsky district, urban-type village Krasnoperekopsk, Northern highway",+38 (06565) 5-02-02,office@tiosf.com,crimean-titan.com
27,05766893,"PJSC ""CRIMEAN SODA PLANT""",2,COMPANY,20.13 Production of other basic inorganic chemical substances,02/14/1995,RYABOVA NATALIA IVANIVNA,"Ukraine, 96008, Autonomous Republic of Crimea, KRASNOPEREKOPSK city, street Zavodska, building 1",(06565) 9-76-15,office@soda.crimea.ua,soda.dp.ua
