relation_id,source_node_id,target_node_id,relation_type,communication_type,fraction,level_difference
1,2,1,FOUNDER,"(↑) Counterparty founder",1,1
2,1,3,FOUNDER,"(↓) The counterparty is the founder",1,1
3,1,4,FOUNDER,"(↓) The counterparty is the founder",0.25,1
4,1,5,FOUNDER,"(↓) The counterparty is the founder",1,1
5,1,6,FOUNDER,"(↓) The counterparty is the founder",0.25,1
6,1,7,FOUNDER,"(↓) The counterparty is the founder",1,1
7,1,8,FOUNDER,"(↓) The counterparty is the founder",1,1
8,1,9,FOUNDER,"(↓) The counterparty is the founder",0.5,1
9,1,10,FOUNDER,"(↓) The counterparty is the founder",1,1
10,1,11,FOUNDER,"(↓) The counterparty is the founder",1,1
11,1,12,FOUNDER,"(↓) The counterparty is the founder",1,1
12,1,13,FOUNDER,"(↓) The counterparty is the founder",1,1
13,1,14,FOUNDER,"(↓) The counterparty is the founder",1,1
14,1,15,FOUNDER,"(↓) The counterparty is the founder",1,1
15,1,16,FOUNDER,"(↓) The counterparty is the founder",1,1
16,1,17,FOUNDER,"(↓) The counterparty is the founder",1,1
17,1,18,FOUNDER,"(↓) The counterparty is the founder",1,1
18,19,3,GROUP_MEMBER,"(↑) Counterparty is related to the group",,1
19,20,3,FOUNDER,"(↑) Counterparty founder",0.43,1
20,21,3,FOUNDER,"(↑) Counterparty founder",0.001,1
21,22,3,FOUNDER,"(↑) Counterparty founder",0.000316,1
22,23,3,FOUNDER,"(↑) Counterparty founder",0.000316,1
23,24,3,FOUNDER,"(↑) Counterparty founder",0.000316,1
24,25,3,FOUNDER,"(↑) Counterparty founder",0.000316,1
25,26,3,FOUNDER,"(↑) Counterparty founder",0.000316,1
26,27,3,FOUNDER,"(↑) Counterparty founder",0.000316,1
27,28,3,FOUNDER,"(↑) Counterparty founder",0.03,1
28,29,3,FOUNDER,"(↑) Counterparty founder",0.03,1
29,30,3,BENEFICIARY,"(↑) Beneficiary of the counterparty",,1
30,31,3,FOUNDER,"(↑) Counterparty founder",0.001,1
31,32,3,FOUNDER,"(↑) Counterparty founder",0.009,1
32,33,3,FOUNDER,"(↑) Counterparty founder",0.500058,1
33,34,3,FOUNDER,"(↑) Counterparty founder",0.000058,1
34,35,3,FOUNDER,"(↑) Counterparty founder",0.010058,1
35,36,4,GROUP_MEMBER,"(↑) Counterparty is related to the group",,1
36,37,4,FOUNDER,"(↑) Counterparty founder",0.0034,1
37,38,4,FOUNDER,"(↑) Counterparty founder",0.0012,1
38,39,4,FOUNDER,"(↑) Counterparty founder",0.0034,1
39,40,4,FOUNDER,"(↑) Counterparty founder",0.0034,1
40,41,4,FOUNDER,"(↑) Counterparty founder",0.0034,1
41,42,4,FOUNDER,"(↑) Counterparty founder",0.0034,1
42,43,4,FOUNDER,"(↑) Counterparty founder",0.0034,1
43,44,4,FOUNDER,"(↑) Counterparty founder",0.0034,1
44,45,4,FOUNDER,"(↑) Counterparty founder",0.0034,1
45,46,4,FOUNDER,"(↑) Counterparty founder",0.0034,1
46,47,4,FOUNDER,"(↑) Counterparty founder",0.0034,1
47,48,4,FOUNDER,"(↑) Counterparty founder",0.0034,1
48,49,4,FOUNDER,"(↑) Counterparty founder",0.0034,1
49,50,4,FOUNDER,"(↑) Counterparty founder",0.0034,1
50,51,4,FOUNDER,"(↑) Counterparty founder",0.9375,1
51,52,4,FOUNDER,"(↑) Counterparty founder",0.0005,1
52,53,5,GROUP_MEMBER,"(↑) Counterparty is related to the group",,1
53,54,5,FOUNDER,"(↑) Counterparty founder",0.01,1
54,55,5,FOUNDER,"(↑) Counterparty founder",0.01,1
55,56,5,FOUNDER,"(↑) Counterparty founder",0.0089,1
56,57,5,FOUNDER,"(↑) Counterparty founder",0.01,1
57,58,5,FOUNDER,"(↑) Counterparty founder",0.01,1
58,59,5,FOUNDER,"(↑) Counterparty founder",0.01,1
59,60,5,FOUNDER,"(↑) Counterparty founder",0.01,1
60,61,5,FOUNDER,"(↑) Counterparty founder",0.9311,1
61,62,5,FOUNDER,"(↑) Counterparty founder",0.01,1
62,63,6,BENEFICIARY,"(↑) Beneficiary of the counterparty",,1
63,64,6,FOUNDER,"(↑) Counterparty founder",0.5,1
64,65,6,FOUNDER,"(↑) Counterparty founder",0.24,1
65,66,6,FOUNDER,"(↑) Counterparty founder",0.2,1
66,67,6,FOUNDER,"(↑) Counterparty founder",0.0045,1
67,68,6,FOUNDER,"(↑) Counterparty founder",0.0045,1
68,69,6,FOUNDER,"(↑) Counterparty founder",0.0045,1
69,70,6,FOUNDER,"(↑) Counterparty founder",0.0045,1
70,71,6,FOUNDER,"(↑) Counterparty founder",0.0045,1
71,72,6,FOUNDER,"(↑) Counterparty founder",0.0045,1
72,73,6,FOUNDER,"(↑) Counterparty founder",0.009,1
73,74,6,FOUNDER,"(↑) Counterparty founder",0.0045,1
74,75,7,GROUP_MEMBER,"(↑) Counterparty is part of the group",,1
75,76,7,FOUNDER,"(↑) Counterparty founder",0.00157,1
76,77,7,FOUNDER,"(↑) Counterparty founder",0.00157,1
77,78,7,FOUNDER,"(↑) Counterparty founder",0.00157,1
78,79,7,FOUNDER,"(↑) Counterparty founder",0.00157,1
79,80,7,FOUNDER,"(↑) Counterparty founder",0.00157,1
80,81,7,FOUNDER,"(↑) Counterparty founder",0.00157,1
81,82,7,FOUNDER,"(↑) Counterparty founder",0.00057,1
82,83,7,FOUNDER,"(↑) Counterparty founder",0.00157,1
83,84,7,FOUNDER,"(↑) Counterparty founder",0.00057,1
84,85,7,FOUNDER,"(↑) Counterparty founder",0.00057,1
85,86,7,FOUNDER,"(↑) Counterparty founder",0.00057,1
86,87,7,FOUNDER,"(↑) Counterparty founder",0.00057,1
87,88,7,FOUNDER,"(↑) Counterparty founder",0.00057,1
88,89,7,FOUNDER,"(↑) Counterparty founder",0.00057,1
89,90,7,FOUNDER,"(↑) Counterparty founder",0.00057,1
90,91,7,FOUNDER,"(↑) Counterparty founder",0.00057,1
91,92,7,FOUNDER,"(↑) Counterparty founder",0.00057,1
92,93,7,FOUNDER,"(↑) Counterparty founder",0.0001,1
93,94,7,BENEFICIARY,"(↑) Beneficiary of the counterparty",,1
94,95,7,GROUP_MEMBER,"(↑) Counterparty is part of the group",,1
95,96,7,FOUNDER,"(↑) Counterparty founder",0.0003,1
96,97,7,FOUNDER,"(↑) Counterparty founder",0.0003,1
97,98,7,FOUNDER,"(↑) Counterparty founder",0.0003,1
98,99,7,FOUNDER,"(↑) Counterparty founder",0.9679,1
99,100,7,FOUNDER,"(↑) Counterparty founder",0.0001,1
100,101,7,FOUNDER,"(↑) Counterparty founder",0.0001,1
101,102,7,FOUNDER,"(↑) Counterparty founder",0.0001,1
102,103,7,FOUNDER,"(↑) Counterparty founder",0.0001,1
103,104,7,FOUNDER,"(↑) Counterparty founder",0.0001,1
104,105,7,FOUNDER,"(↑) Counterparty founder",0.0002,1
105,106,7,FOUNDER,"(↑) Counterparty founder",0.0003,1
106,107,7,FOUNDER,"(↑) Counterparty founder",0.01566,1
107,108,8,BENEFICIARY,"(↑) Beneficiary of the counterparty",,1
108,109,8,FOUNDER,"(↑) Counterparty founder",0.5,1
109,110,8,FOUNDER,"(↑) Counterparty founder",0.5,1
110,111,8,FOUNDER,"(↑) Counterparty founder",0.0001,1
111,112,8,BENEFICIARY,"(↑) Beneficiary of the counterparty",,1
112,113,8,BENEFICIARY,"(↑) Beneficiary of the counterparty",,1
113,114,8,FOUNDER,"(↑) Counterparty founder",0.99999,1
114,115,8,FOUNDER,"(↑) Counterparty founder",0.00001,1
115,116,8,FOUNDER,"(↑) Counterparty founder",0.00001,1
116,117,8,FOUNDER,"(↑) Counterparty founder",0.00001,1
117,118,8,FOUNDER,"(↑) Counterparty founder",0.00001,1
118,119,8,FOUNDER,"(↑) Counterparty founder",0.00001,1
119,120,8,FOUNDER,"(↑) Counterparty founder",0.00001,1
120,9,121,FOUNDER,"(↓) The counterparty is the founder",1,1
121,9,122,FOUNDER,"(↓) The counterparty is the founder",1,1
122,9,123,FOUNDER,"(↓) The counterparty is the founder",1,1
123,9,124,FOUNDER,"(↓) The counterparty is the founder",1,1
124,9,125,FOUNDER,"(↓) The counterparty is the founder",1,1
125,9,126,FOUNDER,"(↓) The counterparty is the founder",1,1
126,9,127,FOUNDER,"(↓) The counterparty is the founder",1,1
127,9,128,FOUNDER,"(↓) The counterparty is the founder",1,1
128,9,129,FOUNDER,"(↓) The counterparty is the founder",1,1
129,9,130,FOUNDER,"(↓) The counterparty is the founder",1,1
130,9,131,FOUNDER,"(↓) The counterparty is the founder",1,1
131,9,132,FOUNDER,"(↓) The counterparty is the founder",1,1
132,9,133,FOUNDER,"(↓) The counterparty is the founder",1,1
133,9,134,FOUNDER,"(↓) The counterparty is the founder",0.01,1
134,9,135,FOUNDER,"(↓) The counterparty is the founder",0.01,1
135,9,136,FOUNDER,"(↓) The counterparty is the founder",0.01,1
136,9,137,FOUNDER,"(↓) The counterparty is the founder",0.0001,1
137,9,138,FOUNDER,"(↓) The counterparty is the founder",0.0001,1
138,9,139,FOUNDER,"(↓) The counterparty is the founder",0.0001,1
139,9,140,FOUNDER,"(↓) The counterparty is the founder",0.0001,1
140,9,141,FOUNDER,"(↓) The counterparty is the founder",0.0001,1
141,9,142,FOUNDER,"(↓) The counterparty is the founder",0.0001,1
142,9,143,FOUNDER,"(↓) The counterparty is the founder",0.0001,1
